"strain","wbid"
"CHS 1001","WBGene00005318"
"CHS 1001","WBGene00005319"
"CHS 1002","WBGene00005328"
"CHS 1002","WBGene00005330"
"CHS 1002","WBGene00005512"
"CHS 1003","WBGene00005321"
"CHS 1003","WBGene00005323"
"CHS 1003","WBGene00005328"
"CHS 1003","WBGene00005330"
"CHS 1003","WBGene00005512"
"CHS 1004","WBGene00005358"
"CHS 1004","WBGene00005359"
"CHS 1004","WBGene00005361"
"CHS 1005","WBGene00005362"
"CHS 1005","WBGene00005363"
"CHS 1005","WBGene00005364"
"CHS 1006","WBGene00005404"
"CHS 1006","WBGene00005405"
"CHS 1006","WBGene00005406"
"CHS 1007","WBGene00005414"
"CHS 1007","WBGene00005415"
"CHS 1007","WBGene00005416"
"CHS 1008","WBGene00005422"
"CHS 1008","WBGene00005423"
"CHS 1008","WBGene00005428"
"CHS 1009","WBGene00005499"
"CHS 1009","WBGene00005500"
"CHS 1009","WBGene00005501"
"CHS 1010","WBGene00006163"
"CHS 1010","WBGene00006164"
"CHS 1010","WBGene00006165"
"CHS 1010","WBGene00006166"
"CHS 1010","WBGene00006167"
"CHS 1010","WBGene00006169"
"CHS 1011","WBGene00005513"
"CHS 1011","WBGene00005514"
"CHS 1011","WBGene00005516"
"CHS 1012","WBGene00008574"
"CHS 1012","WBGene00011541"
"CHS 1012","WBGene00011840"
"CHS 1012","WBGene00012523"
"CHS 1013","WBGene00005641"
"CHS 1014","WBGene00005670"
"CHS 1014","WBGene00005707"
"CHS 1014","WBGene00005708"
"CHS 1014","WBGene00005710"
"CHS 1014","WBGene00005711"
"CHS 1014","WBGene00044087"
"CHS 1015","WBGene00001517"
"CHS 1015","WBGene00001518"
"CHS 1015","WBGene00001519"
"CHS 1016","WBGene00021528"
"CHS 1016","WBGene00022675"
"CHS 1017","WBGene00008142"
"CHS 1017","WBGene00010179"
"CHS 1017","WBGene00021497"
"CHS 1018","WBGene00015005"
"CHS 1018","WBGene00018924"
"CHS 1018","WBGene00021357"
"CHS 1019","WBGene00008885"
"CHS 1019","WBGene00010375"
"CHS 1019","WBGene00016044"
"CHS 1020","WBGene00019367"
"CHS 1020","WBGene00019370"
"CHS 1020","WBGene00020069"
"CHS 1020","WBGene00020420"
"CHS 1021","WBGene00010315"
"CHS 1021","WBGene00017015"
"CHS 1021","WBGene00018222"
"CHS 1021","WBGene00021124"
"CHS 1022","WBGene00005160"
"CHS 1022","WBGene00005163"
"CHS 1022","WBGene00005164"
"CHS 1022","WBGene00005165"
"CHS 1022","WBGene00005166"
"CHS 1022","WBGene00005167"
"CHS 1023","WBGene00005935"
"CHS 1023","WBGene00005936"
"CHS 1023","WBGene00005937"
"CHS 1023","WBGene00005938"
"CHS 1024","WBGene00007664"
"CHS 1024","WBGene00014035"
"CHS 1024","WBGene00015735"
"CHS 1025","WBGene00009965"
"CHS 1025","WBGene00018191"
